 to your browser, в ваш браузер
A user who posts blogs.,"Пользователь, который публикует блоги."
A word by itself is easy to guess.,Одиночное слово легко подобрать.
A4,A4
ALL,ВСЕ
API,API
API Access,Доступ к API
API Endpoint,Конечная точка API
API Endpoint Args,API Endpoint Args
API Key,Ключ API
API Key cannot be  regenerated,API-ключ нельзя сгенерировать повторно
API Key of the user(Event Subscriber) on the producer site,API Key пользователя (подписчика на события) на сайте источника
API Method,Метод API
API Password,Пароль API
API Secret,Секретный ключ API
API Secret of the user(Event Subscriber) on the producer site,API Secret пользователя (подписчика на события) на сайте источника
API Username,Имя пользователя API
ASC,ASC
About,О системе
About Us Settings,Настройки «О нас»
About Us Team Member,Участник команды страницы «О нас»
About {0} minute remaining,Осталась примерно {0} минута
About {0} minutes remaining,Осталось примерно {0} минут
About {0} seconds remaining,Осталось около {0} секунд
Accept Payment,Принимать оплату
Access Key ID,Идентификатор ключа доступа
Access Key Secret,Секретный ключ доступа
Access Log,Журнал доступа
Access Token,Токен доступа
Access Token URL,URL токена доступа
Access not allowed from this IP Address,Доступ с этого IP-адреса запрещён
Account,Счёт
Accounts Manager,Руководитель бухгалтерии
Accounts User,Пользователь бухгалтерии
Action,Действие
Action / Route,Действие / Маршрут
Action Failed,Ошибка действия
Action Timeout (Seconds),Тайм-аут действия (секунды)
Action Type,Тип действия
Actions,Действия
"Actions for workflow (e.g. Approve, Cancel).","Действия рабочего процесса (например: Утвердить, Отменить)."
Active,Активен
Active Domains,Активные домены
Active Sessions,Активные сеансы
Activity,Активность
Activity Log,Журнал активности
Activity Log by ,Журнал активности по 
Activity log of all users.,Журнал активности всех пользователей.
Add,Добавить
Add / Manage Email Accounts.,Добавление почтовых ящиков и управление ими.
Add / Manage Email Domains.,Добавление / управление доменами эл. почты.
Add / Update,Добавить / обновить
Add A New Rule,Добавить новое правило
Add Another Comment,Добавить ещё один комментарий
Add Attachment,Добавить вложение
Add Chart to Dashboard,Добавить диаграмму на дашборд
Add Child,Добавить дочерний элемент
Add Column,Добавить столбец
Add Contact,Добавить контакт
Add Contacts,Добавить контакты
Add Container,Добавить контейнер
Add Custom Tags,Добавить собственные теги
Add Fields,Добавить поля
Add Filter,Добавить фильтр
Add Filters,Добавить фильтры
Add Gray Background,Добавить серый фон
Add Group,Добавить группу
Add Multiple,Добавить несколько
Add New Permission Rule,Добавить новое правило доступа
Add Participants,Добавить участников
Add Review,Добавить отзыв
Add Row,Добавить строку
Add Signature,Добавить подпись
Add Space on Bottom,Добавить отступ снизу
Add Space on Top,Добавить отступ сверху
Add Subscribers,Добавить подписчиков
Add Tags,Добавить метки
Add Total Row,Добавить итоговую строку
Add Unsubscribe Link,Добавить ссылку «Отписаться»
Add User Permissions,Добавить права пользователя
Add a New Role,Добавить новую роль
Add a column,Добавить столбец
Add a comment,Добавить комментарий
Add a new section,Добавить новый раздел
Add a tag ...,Добавить метку ...
Add a {0} Chart,Добавить диаграмму {0}
Add all roles,Добавить все роли
Add custom forms.,Добавить пользовательские формы.
Add custom javascript to forms.,Добавление пользовательского JavaScript в формы.
Add fields to forms.,Добавление полей в формы.
Add meta tags to your web pages,Добавьте метатеги на свои веб-страницы
Add script for Child Table,Добавить скрипт для дочерней таблицы
Add to Dashboard,Добавить на дашборд
Add to ToDo,Добавить в список задач
Add to table,Добавить в таблицу
Add your own translations,Добавить свои собственные переводы
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML, добавляемый в раздел &lt;head&gt; веб-страницы; в основном используется для верификации сайта и SEO"
Added {0},Добавлено {0}
Added {0} ({1}),Добавлено {0} ({1})
Adding System Manager to this User as there must be atleast one System Manager,"Пользователю добавляется роль «Системный менеджер», так как должен быть хотя бы один системный менеджер"
Additional Permissions,Дополнительные права доступа
Address,Адрес
Address And Contacts,Адрес и контакты
Address Line 1,"Адрес, строка 1"
Address Line 2,"Адрес, строка 2"
Address Template,Шаблон адреса
Address Title,Название адреса
Address Title is mandatory.,Название адреса обязательно.
Address Type,Тип адреса
Address and other legal information you may want to put in the footer.,"Адрес и другая юридическая информация, которую можно разместить в нижнем колонтитуле."
Addresses,Адреса
Addresses And Contacts,Адреса и контакты
Adds a client custom script to a DocType,Добавляет клиентский скрипт в DocType
Adds a custom field to a DocType,Добавляет настраиваемое поле в DocType
Admin,Администратор
Administration,Администрирование
Administrator,Администратор
Administrator Logged In,Администратор вошёл в систему
Administrator accessed {0} on {1} via IP Address {2}.,Администратор обращался к {0} {1} с IP-адреса {2}.
Advanced,Продвинутый
Advanced Control,Расширенный контроль
Advanced Search,Расширенный поиск
Advanced Settings,Расширенные настройки
After Cancel,После отмены
After Delete,После удаления
After Save,После сохранения
After Save (Submitted Document),После сохранения (проведённый документ)
After Submit,После проведения
Aggregate Function Based On,"Агрегатная функция, основанная на"
Aggregate Function field is required to create a dashboard chart,Поле агрегатной функции необходимо для создания диаграммы дашборда.
Alert,Оповещение
Align Labels to the Right,Выровнять подписи полей по правому краю
Align Right,Выровнять по правому краю
Align Value,Выравнивание значения
All,Все
All Day,Весь день
All Images attached to Website Slideshow should be public,"Все изображения, прикреплённые к слайд-шоу сайта, должны быть общедоступными"
All Records,Все записи
All Time,За всё время
All customizations will be removed. Please confirm.,"Все пользовательские настройки будут удалены. Пожалуйста, подтвердите."
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Все возможные состояния и роли рабочего процесса. Варианты Docstatus: 0 — «Сохранён», 1 — «Проведён», 2 — «Отменён»"
All-uppercase is almost as easy to guess as all-lowercase.,"Всё заглавными почти так же легко подобрать, как и всё строчными."
Allocated To,Назначено
Allot Points To Assigned Users,Начислять баллы назначенным пользователям
Allow,Разрешить
Allow API Indexing Access,Разрешить доступ для индексирования API
Allow Auto Repeat,Разрешить автоповтор
Allow Bulk Edit,Разрешить массовое редактирование
Allow Comments,Разрешить комментарии
Allow Consecutive Login Attempts ,Разрешить последовательные попытки входа 
Allow Delete,Разрешить удаление
Allow Dropbox Access,Разрешить доступ Dropbox
Allow Edit,Разрешить редактирование
Allow Google Calendar Access,Разрешить доступ к Google Календарю
Allow Google Contacts Access,Разрешить доступ к контактам Google
Allow Google Drive Access,Разрешить доступ к Google Drive
Allow Google Indexing Access,Разрешить доступ к индексированию Google
Allow Guest,Разрешить гостям
Allow Guest to View,Разрешить просмотр гостям
Allow Guests to Upload Files,Разрешить гостям загружать файлы
Allow Import (via Data Import Tool),Разрешить импорт (с помощью инструмента импорта данных)
Allow Incomplete Forms,Разрешить неполные формы
Allow Login After Fail,Разрешить вход после неудачной попытки
Allow Login using Mobile Number,Разрешить вход по номеру мобильного телефона
Allow Login using User Name,Разрешить вход по имени пользователя
Allow Modules,Разрешённые модули
Allow Multiple,Разрешить несколько
Allow Print,Разрешить печать
Allow Print for Cancelled,Разрешить печать для отменённых
Allow Print for Draft,Разрешить печать для черновика
Allow Read On All Link Options,Разрешить чтение всех вариантов ссылок
Allow Rename,Разрешить переименование
Allow Roles,Разрешённые роли
Allow Self Approval,Разрешить самостоятельное утверждение
Allow approval for creator of the document,Разрешить утверждение создателю документа
Allow document creation via Email,Разрешить создание документов по эл. почте
Allow events in timeline,Разрешить события на временной шкале
Allow in Quick Entry,Разрешить в быстром создании
Allow on Submit,Разрешить изменение после проведения
Allow only one session per user,Разрешить только один сеанс для каждого пользователя
Allow page break inside tables,Разрешить разрыв страницы внутри таблиц
Allow saving if mandatory fields are not filled,"Разрешить сохранение, если обязательные поля не заполнены"
Allow user to login only after this hour (0-24),Разрешить пользователю входить только после этого часа (0—24)
Allow user to login only before this hour (0-24),Разрешить пользователю входить только до этого часа (0—24)
Allowed,Разрешено
Allowed In Mentions,Разрешено в упоминаниях
"Allowing DocType, DocType. Be careful!","Разрешение DocType, DocType. Будьте осторожны!"
Already Registered,Уже зарегистрированы
Already in the following Users ToDo list:{0},Уже в списке задач следующих пользователей:{0}
Also adding the dependent currency field {0},Также добавляется зависимое валютное поле {0}
Also adding the status dependency field {0},Также добавляем поле зависимости статуса {0}
"Always add ""Draft"" Heading for printing draft documents",Всегда добавлять заголовок «Черновик» при печати черновиков документов
Always use Account's Email Address as Sender,Всегда использовать адрес эл. почты учётной записи в качестве отправителя
Always use Account's Name as Sender's Name,Всегда использовать имя учётной записи в качестве имени отправителя
Amend,Исправить
Amended From,Исправление документа
Amending,Исправление
Amount,Сумма
Amount Based On Field,Сумма на основании поля
Amount Field,Поле суммы
Amount must be greater than 0.,Сумма должна быть больше 0.
An error occured during the payment process. Please contact us.,"В процессе оплаты произошла ошибка. Пожалуйста, свяжитесь с нами."
An error occurred while setting Session Defaults,Произошла ошибка при настройке параметров сеанса по умолчанию
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Файл значка с расширением .ico. Размер 16 × 16 px. Создаётся с помощью генератора фавиконов. [favicon-generator.org]
Analytics,Аналитика
Ancestors Of,Предки для
Andaman and Nicobar Islands,Андаманские и Никобарские острова
Andhra Pradesh,Андхра-Прадеш
Annual,Ежегодно
Anonymous,Анонимно
Another transaction is blocking this one. Please try again in a few seconds.,Эту транзакцию блокирует другая. Повторите попытку через несколько секунд.
"Another {0} with name {1} exists, select another name","Уже существует {0} с именем {1}, выберите другое имя"
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Можно использовать любые языки принтера на основе строк. Для написания необработанных команд требуется знание родного языка принтера, предоставляемого производителем принтера. Пожалуйста, обратитесь к руководству разработчика, предоставленному производителем принтера, о том, как писать собственные команды. Эти команды отображаются на стороне сервера с использованием языка шаблонов Jinja."
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Помимо системного менеджера, роли с правом «Установка прав пользователей» могут задавать права других пользователей для этого типа документов."
Api Access,Доступ к API
App,Приложение
App Access Key,Ключ доступа к приложению
App Client ID,ID клиента приложения
App Client Secret,Секрет клиента приложения
App Name,Имя приложения
App Secret Key,Секретный ключ приложения
App not found,Приложение не найдено
App {0} already installed,Приложение {0} уже установлено
App {0} is not installed,Приложение {0} не установлено
Append Emails to Sent Folder,Сохранять письма в папку «Отправленные»
Append To,Добавлять к
Append To can be one of {0},«Добавлять к» может быть одним из {0}
Append To is mandatory for incoming mails,«Добавлять к» обязательно для входящих писем
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Добавлять как коммуникацию к этому DocType (должны быть поля «Статус», «Тема»)"
Applicable Document Types,Применимые типы документов
Applicable For,Применяется к
Application Logo,Логотип приложения
Application Name,Имя приложения
Application Version,Версия приложения
Applied On,Применено к
Apply,Применить
Apply Assignment Rule,Применить правило назначения
Apply Document Permissions,Применять права документа
Apply Filters,Применить фильтры
Apply Only Once,Применять только один раз
Apply Strict User Permissions,Применять строгие права пользователей
Apply To All Document Types,Применить ко всем типам документов
Apply this rule if the User is the Owner,"Применять это правило, если пользователь является владельцем"
Apply this rule only once per document,Применять это правило только один раз для каждого документа
Apply to all Documents Types,Применить ко всем типам документов
Applying: {0},Применяется: {0}
Appreciate,Похвалить
Appreciation,Похвала
Approval Required,Требуется утверждение
Approval Status,Статус утверждения
Approved,Утверждено
Archive,Архив
Archived,Архивные
Archived Columns,Архивные столбцы
Are you sure you want to delete all rows?,"Вы уверены, что хотите удалить все строки?"
Are you sure you want to delete the attachment?,"Вы уверены, что хотите удалить вложение?"
Are you sure you want to delete this post?,"Вы уверены, что хотите удалить этот пост?"
Are you sure you want to generate a new report?,"Вы уверены, что хотите создать новый отчёт?"
Are you sure you want to merge {0} with {1}?,"Вы уверены, что хотите объединить {0} с {1}?"
Are you sure you want to relink this communication to {0}?,"Вы уверены, что хотите привязать эту коммуникацию к {0}?"
Are you sure you want to reset all customizations?,"Вы уверены, что хотите сбросить все пользовательские настройки?"
Are you sure you want to save this document?,"Вы уверены, что хотите сохранить этот документ?"
Are you sure?,Вы уверены?
Arial,Arial
Arunachal Pradesh,Аруначал-Прадеш
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",Рекомендация: не назначайте один и тот же набор правил доступа разным ролям. Вместо этого назначьте несколько ролей одному пользователю.
Assam,Ассам
Assign,Назначить
Assign Condition,Условие назначения
Assign To,Назначить
Assign To Users,Назначить пользователям
"Assign one by one, in sequence","Назначать по одному, по очереди"
Assign to me,Назначить мне
Assign to the one who has the least assignments,"Назначать тому, у кого меньше всего назначений"
Assign to the user set in this field,"Назначать пользователю, указанному в этом поле"
Assigned,Назначено
Assigned By,Кем назначено
Assigned By Full Name,Полное имя назначившего
Assigned By Me,Назначенные мной
Assigned To,Назначено
Assigned To/Owner,Назначено/Владелец
Assignment,Назначение
Assignment Complete,Назначение выполнено
Assignment Completed,Назначение выполнено
Assignment Day {0} has been repeated.,День назначения {0} повторяется.
Assignment Days,Дни назначения
Assignment Rule,Правило назначения
Assignment Rule Day,День правила назначения
Assignment Rule User,Пользователь правила назначения
Assignment Rules,Правила назначения
Assignment Update on {0},Обновление назначения в {0}
Assignment closed by {0},Назначение закрыто пользователем {0}
Assignment for {0} {1},Назначение для {0} {1}
Assignments,Назначения
Atleast one field of Parent Document Type is mandatory,Обязательно хотя бы одно поле родительского типа документа
Attach,Прикрепить
Attach Document Print,Прикрепить печатный документ
Attach File,Прикрепить файл
Attach Image,Прикрепить изображение
Attach Print,Прикрепить печатную форму
Attach Your Picture,Прикрепите свою фотографию
Attach a web link,Прикрепить веб-ссылку
Attach file,Прикрепить файл
Attach file for Import,Прикрепить файл для импорта
Attach files / urls and add in table.,Прикрепите файлы / URL-адреса и добавьте в таблицу.
Attached File,Прикреплённый файл
Attached To DocType,Прикреплено к DocType
Attached To Field,Прикреплено к полю
Attached To Name,Прикреплено к имени
Attachment,Вложение
Attachment Limit (MB),Лимит вложений (МБ)
Attachment Link,Ссылка вложения
Attachment Removed,Вложение удалено
Attachments,Вложения
Attempting Connection to QZ Tray...,Попытка подключения к QZ Tray...
Attempting to launch QZ Tray...,Попытка запустить QZ Tray...
Auth Token,Токен аутентификации
Auth URL Data,Данные URL-адреса аутентификации
Authenticating...,Проверка подлинности...
Authentication,Аутентификация
Authentication Apps you can use are: ,"Приложения для аутентификации, которые можно использовать: "
Authentication Credentials,Учётные данные аутентификации
Authentication failed while receiving emails from Email Account: {0}.,Ошибка аутентификации при получении писем из учётной записи эл. почты: {0}.
Author,Автор
Authorization Code,Код авторизации
Authorize API Indexing  Access,Авторизовать доступ к API индексирования
Authorize Google Calendar Access,Авторизовать доступ к Google Календарю
Authorize Google Contacts Access,Авторизовать доступ к контактам Google
Authorize Google Drive Access,Авторизовать доступ к Google Drive
Authorize URL,URL авторизации
Authorized,Авторизован
Auto,Авто
Auto Email Report,Автоматический отчёт по эл. почте
Auto Name,Автоимя
Auto Repeat,Автоповтор
Auto Repeat Document Creation Failed,Не удалось создать документ автоповтора
Auto Repeat Document Creation Failure,Сбой создания документа автоповтора
Auto Repeat created for this document,Автоповтор создан для этого документа
Auto Repeat failed for {0},Автоповтор не выполнен для {0}
Auto Reply Message,Сообщение автоответа
Auto assignment failed: {0},Автоматическое назначение не выполнено: {0}
Automatic Linking can be activated only for one Email Account.,Автоматическое связывание можно включить только для одной учётной записи эл. почты.
Automatic Linking can be activated only if Incoming is enabled.,"Автоматическое связывание можно включить, только если включена входящая почта."
Automatically Assign Documents to Users,Автоматически назначать документы пользователям
Automatically generates recurring documents.,Автоматически генерирует повторяющиеся документы.
Automation,Автоматизация
Avatar,Аватар
Average,Среднее
Average of {0},Среднее из {0}
Avoid dates and years that are associated with you.,"Избегайте дат и лет, связанных с вами."
Avoid recent years.,Избегайте недавних лет.
Avoid sequences like abc or 6543 as they are easy to guess,Избегайте последовательностей вроде abc или 6543 — их легко подобрать
Avoid years that are associated with you.,"Избегайте лет, связанных с вами."
Awaiting Password,В ожидании пароля
Awaiting password,Ожидание пароля
Away,Отошёл
BCC,Скрытая копия
Back to Desk,Вернуться на рабочий стол
Back to Home,Вернуться на главную
Back to Login,Вернуться на страницу входа
Background Color,Цвет фона
Background Email Queue,Фоновая очередь эл. почты
Background Jobs,Фоновые задания
Background Workers,Фоновые процессы
Backing up to Google Drive.,Резервное копирование на Google Drive.
Backup,Резервное копирование
Backup Details,Детали резервного копирования
Backup Files,Резервное копирование файлов
Backup Folder ID,ID папки резервных копий
Backup Folder Name,Имя папки резервных копий
Backup Frequency,Частота резервного копирования
Backup Limit,Лимит резервных копий
Backup job is already queued. You will receive an email with the download link,Задача резервного копирования уже в очереди. Вы получите письмо со ссылкой для скачивания
Backup public and private files along with the database.,Резервное копирование публичных и приватных файлов вместе с базой данных.
Backups,Резервные копии
Banner,Баннер
Banner HTML,HTML баннера
Banner Image,Изображение баннера
Banner is above the Top Menu Bar.,Баннер располагается над верхней панелью меню.
Bar,Столбчатая
Barcode,Штрихкод
Base Distinguished Name (DN),Базовое отличительное имя (DN)
Base URL,Базовый URL
Based On,На основании
Based on Field,На основе поля
Based on Permissions For User,На основе прав пользователя
Basic,Основной
Before Cancel,Перед отменой
Before Delete,Перед удалением
Before Insert,Перед вставкой
Before Save,Перед сохранением
Before Save (Submitted Document),Перед сохранением (проведённый документ)
Before Submit,Перед проведением
Beginner,Начинающий
Beginning with,Начиная с
Beta,Бета
Better add a few more letters or another word,Лучше добавьте ещё несколько букв или другое слово
Between,Между
Bihar,Бихар
Billing,Выставление счетов
Bio,О себе
Birth Date,Дата рождения
Blank Template,Пустой шаблон
Block Module,Заблокированный модуль
Block Modules,Заблокированные модули
Blocked,Заблокирован
Blog,Блог
Blog Category,Категория блога
Blog Intro,Введение блога
Blog Introduction,Введение блога
Blog Post,Пост блога
Blog Settings,Настройки блога
Blog Title,Название блога
Blogger,Блогер
Bold,Жирный
Bot,Бот
Both DocType and Name required,"Требуются и DocType, и имя"
Both login and password required,Необходимо ввести логин и пароль
Bottom,Низ
Bounced,Возвращено
Braintree Settings,Настройки Braintree
Braintree payment gateway settings,Настройки платёжного шлюза Braintree
Brand,Бренд
Brand HTML,HTML бренда
Brand Image,Изображение бренда
Breadcrumbs,Хлебные крошки
Browse,Обзор
Browser,Браузер
Browser Version,Версия браузера
Browser not supported,Браузер не поддерживается
Brute Force Security,Защита от перебора
Bucket Name,Имя бакета
Build Report,Построить отчёт
Bulk Delete,Массовое удаление
Bulk Edit {0},Массовая правка {0}
Bulk Rename,Массовое переименование
Bulk Update,Массовое обновление
Button,Кнопка
Button Gradients,Градиенты кнопок
Button Help,Подсказка кнопки
Button Label,Надпись на кнопке
Button Rounded Corners,Скруглённые углы кнопок
Button Shadows,Тени кнопок
"By default the title is used as meta title, adding a value here will override it.",По умолчанию в качестве метазаголовка используется заголовок; значение здесь переопределит его.
Bypass Restricted IP Address Check If Two Factor Auth Enabled,"Обходить проверку ограничения по IP, если включена двухфакторная аутентификация"
Bypass Two Factor Auth for users who login from restricted IP Address,"Обходить двухфакторную аутентификацию для пользователей, входящих с IP-адресов из списка ограничений"
Bypass restricted IP Address check If Two Factor Auth Enabled,"Обходить проверку ограничения по IP-адресу, если включена двухфакторная аутентификация"
CANCELLED,ОТМЕНЕНО
CC,Копия
"CC, BCC & Email Template","Копия, скрытая копия и шаблон письма"
CSS,CSS
CSS Class,CSS-класс
CSV,CSV
CTA,CTA
CTA Label,Надпись CTA
CTA URL,URL CTA
Cache Cleared,Кэш очищен
Calculate,Рассчитать
Calendar,Календарь
Calendar Name,Имя календаря
Calendar View,Календарь
Call,Звонок
Call To Action,Призыв к действию
Call To Action URL,URL призыва к действию
Callback Message,Сообщение обратного вызова
Callback Title,Заголовок обратного вызова
Callback URL,URL обратного вызова
Camera,Камера
Can Read,Может читать
Can Share,Может поделиться
Can Write,Может изменять
Can't identify open {0}. Try something else.,Не удаётся определить открытый {0}. Попробуйте что-то другое.
Can't save the form as data import is in progress.,"Невозможно сохранить форму, пока идёт импорт данных."
Cancel,Отменить
Cancel All Documents,Отменить все документы
Cancel {0} documents?,Отменить документов: {0}?
Cancelled,Отменён
Cancelled Document restored as Draft,Отменённый документ восстановлен как черновик
Cancelling,Отмена
Cancelling documents,Отмена документов
Cancelling {0},Отмена {0}
Cannot Remove,Невозможно удалить
Cannot cancel before submitting. See Transition {0},Нельзя отменить до проведения. См. переход {0}
Cannot change docstatus from 0 to 2,Нельзя изменить статус документа с 0 на 2
Cannot change docstatus from 1 to 0,Нельзя изменить статус документа с 1 на 0
Cannot change header content,Невозможно изменить содержимое заголовка
Cannot change state of Cancelled Document. Transition row {0},Невозможно изменить состояние отменённого документа. Строка перехода {0}
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,Невозможно изменить данные пользователя в демоверсии. Создайте новую учётную запись на https://erpnext.com
Cannot create a {0} against a child document: {1},Невозможно создать {0} для дочернего документа: {1}
Cannot delete Home and Attachments folders,Нельзя удалить папки «Home» и «Attachments»
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,"Не удаётся удалить файл: он принадлежит {0} {1}, к которому у вас нет прав доступа"
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},"Невозможно удалить или отменить, поскольку {0} {1} связан с {2} {3} {4}"
Cannot delete standard action. You can hide it if you want,Невозможно удалить стандартное действие. При желании его можно скрыть
Cannot delete standard field. You can hide it if you want,Нельзя удалить стандартное поле. При желании его можно скрыть
Cannot delete standard link. You can hide it if you want,Невозможно удалить стандартную ссылку. При желании её можно скрыть
Cannot delete {0},Не удаётся удалить {0}
Cannot delete {0} as it has child nodes,Не удаётся удалить {0}: у него есть дочерние узлы
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",Нельзя изменить стандартное уведомление. Для редактирования отключите его и создайте копию
Cannot edit a standard report. Please duplicate and create a new report,"Изменять стандартный отчёт нельзя. Пожалуйста, создайте новый отчёт из копии"
Cannot edit cancelled document,Нельзя редактировать отменённый документ
Cannot edit filters for standard charts,Невозможно редактировать фильтры для стандартных диаграмм
Cannot edit standard fields,Нельзя редактировать стандартные поля
Cannot have multiple printers mapped to a single print format.,Нельзя сопоставить несколько принтеров одному формату печати.
Cannot link cancelled document: {0},Нельзя привязать отменённый документ: {0}
Cannot map because following condition fails: ,"Невозможно сопоставить, потому что не выполняется условие: "
Cannot match column {0} with any field,Невозможно сопоставить столбец {0} ни с одним полем
Cannot move row,Невозможно переместить строку
Cannot open instance when its {0} is open,"Невозможно открыть экземпляр, пока открыт его {0}"
Cannot open {0} when its instance is open,"Невозможно открыть {0}, пока открыт его экземпляр"
Cannot remove ID field,Нельзя удалить поле ID
Cannot set Notification on Document Type {0},Невозможно настроить уведомление для типа документа {0}
Cannot update {0},Не удаётся обновить {0}
Cannot use sub-query in order by,Нельзя использовать подзапрос в order by
Cannot {0} {1},Невозможно {0} {1}
Capitalization doesn't help very much.,Заглавные буквы помогают не сильно.
Card,Карточка
Card Details,Данные карты
Card Label,Надпись карточки
Cards,Карточки
Categorize blog posts.,Категоризация постов блога.
Category,Категория
Category Description,Описание категории
